Order_ID,Platform,Order_Date,Order_Time,City,Zone,Restaurant_Name,Cuisine,Order_Value_INR,Distance_km,Prep_Time_min,Expected_Time_min,Delivery_Time_min,Delay_min,Delivery_Status,Traffic_Level,Weather,Rider_Availability,Customer_Rating,Cancellation,Payment_Method
OD0000001,Zomato,13-04-2025,19:55,Mumbai,Andheri,Mumbai Treats,Healthy,341,6.11,13,53,52,-1,On-time,High,Clear,High,4.7,No,UPI
OD0000002,Zomato,15-12-2025,13:10,Hyderabad,Kukatpally,Hyderabad Cafe,Street Food,223,7.27,12,69,67,-2,On-time,High,Rainy,High,4.3,No,UPI
OD0000003,Swiggy,28-09-2025,19:45,Hyderabad,Secunderabad,Hyderabad Cafe,Street Food,196,7.29,12,65,64,-1,On-time,High,Cloudy,Medium,4,No,Card
OD0000004,Swiggy,17-04-2025,12:05,Kolkata,Howrah,Kolkata Spice Hub,North Indian,408,5.35,17,54,81,27,Late,High,Clear,High,2.7,Yes,Cash
OD0000005,Zomato,13-03-2025,12:40,Pune,Kothrud,Pune Wok,Desserts,149,1.28,6,15,26,11,Late,Low,Clear,Low,4,No,Card
OD0000006,Swiggy,08-07-2025,15:15,Bengaluru,Electronic City,Bengaluru Bites,Cafe,158,4.8,18,45,49,4,On-time,Medium,Clear,High,4.1,No,UPI
OD0000007,Zomato,21-01-2025,14:00,Kolkata,Garia,Kolkata Treats,Pizza,448,5.72,21,62,77,15,Late,High,Clear,High,3.7,No,Cash
OD0000008,Swiggy,13-04-2025,20:55,Delhi NCR,Noida,Delhi Treats,South Indian,335,5.04,14,37,20,-17,On-time,Low,Cloudy,High,4.6,No,UPI
OD0000009,Zomato,02-05-2025,14:10,Jaipur,C Scheme,Jaipur Treats,Healthy,292,8.13,11,71,68,-3,On-time,High,Clear,Low,3.9,Yes,UPI
OD0000010,Swiggy,03-08-2025,14:05,Bengaluru,Whitefield,Bengaluru Tandoor,Cafe,160,7.4,17,51,46,-5,On-time,Low,Clear,Medium,4.7,No,UPI
OD0000011,Swiggy,27-11-2025,12:25,Pune,Wakad,Pune Bites,Desserts,228,4.85,14,43,52,9,Late,Medium,Clear,Medium,4.2,Yes,UPI
OD0000012,Swiggy,29-03-2025,21:00,Delhi NCR,Central Delhi,Delhi Spice Hub,Pizza,393,6.29,19,45,59,14,Late,Low,Clear,High,3.6,No,UPI
OD0000013,Swiggy,10-04-2025,19:30,Mumbai,Thane,Mumbai Grill House,Healthy,292,1.87,10,22,23,1,On-time,Medium,Clear,Medium,4.5,No,UPI
OD0000014,Zomato,26-12-2025,14:50,Hyderabad,Banjara Hills,Hyderabad Grill House,Burger,246,5.18,13,43,49,6,Late,Medium,Clear,Medium,4,No,Wallet
OD0000015,Swiggy,01-06-2025,21:45,Jaipur,Vaishali Nagar,Jaipur Bites,Biryani,336,2.27,25,41,51,10,Late,Medium,Clear,High,3.8,No,Cash
OD0000016,Zomato,11-05-2025,12:00,Hyderabad,Madhapur,Hyderabad Grill House,North Indian,433,4.44,22,68,79,11,Late,High,Foggy,Medium,3.3,No,UPI
